Id	Edat	Alt	Pes	Sexe	Tabac	Oci	
1	19	170	72	d	0	3	
2	43	164	55	d	0	3	
3	12	160	50	h	0	2	
4	18	177	82	h	0	4	
5	18	176	58	h	0	2	
6	18	184	78	h	0	4	
7	18	177	88	h	0	4	
8	18	178	60	h	1	4	
9	18	154	47	d	0	1	
10	18	166	58	d	0	3	
11	18	172	64	h	1	4	
12	18	170	66	h	1	4	
13	19	170	69	h	1	4	
14	18	160	56	d	1	1	
15	18	174	72	d	1	3	
16	18	180	77	h	0	4	
17	18	170	62	d	1	2	
18	23	181	74	h	1	3	
19	49	170	89	h	1	2	
20	19	166	60	h	1	4	
21	20	180	78	h	0	3	
22	17	152	55	d	0	2	
23	19	160	65	d	1	1	
24	23	186	90	h	0	4	
25	20	175	70	h	1	2	
26	21	170	65	d	0	4	
27	18	180	80	h	1	4	
28	17	172	60	h	0	3	
29	17	163	57	h	0	2	
30	25	190	80	h	0	4	
31	20	165	62	d	0	3	
32	16	150	50	d	0	1	
33	17	165	70	d	1	3	
34	17	180	95	h	0	2	
35	18	173	60	h	1	1	
36	18	175	65	h	1	3	
37	21	175	70	d	1	4	
38	20	164	65	d	1	3	
39	26	175	90	d	1	1	
40	22	189	75	h	0	4	
41	18	160	53	d	0	2	
42	18	164	56	d	0	2	
43	18	165	56	d	0	3	
44	18	160	54	d	0	3	
45	17	170	68	d	0	2	
46	18	169	57	d	0	2	
47	20	167	55	d	0	3	
48	18	168	55	d	0	4	
49	21	168	60	d	0	3	
50	21	174	67	h	0	4	
51	18	168	55	d	0	3	
52	20	175	58	d	0	3	
53	18	174	69	h	0	4	
54	39	171	72	h	0	4	
55	18	189	77	h	0	4	
56	19	170	75	h	0	1	
57	17	167	56	h	1	2	
58	18	190	75	h	1	2	
59	18	175	60	h	0	2	
60	18	167	76	h	0	2	
61	19	173	67	h	0	3	
62	18	165	70	h	1	1	
63	18	175	78	h	0	4	
64	17	173	75	h	0	4	
65	18	163	62	d	0	4	
66	17	163	57	h	0	2	
67	17	169	68	h	0	4	
68	19	170	68	h	0	2	
69	19	170	75	h	0	2	
70	19	168	68	h	0	4	
71	19	165	60	d	1	2	
72	18	175	69	d	0	4	
73	18	180	77	h	0	4	
74	18	171	67	h	1	4	
75	17	173	70	d	0	3	
76	20	180	76	h	1	1	
77	19	173	70	h	1	2	
78	18	167	61	d	1	3	
79	17	163	60	d	0	4	
80	17	159	62	d	1	2	
81	19	170	72	d	0	3	
82	18	162	50	d	0	4	
83	19	164	53	d	1	3	
84	18	160	50	d	0	2	
85	18	160	53	d	0	2	
86	18	165	56	d	0	3	
87	18	160	54	d	0	3	
88	18	164	56	d	0	2	
89	18	178	75	h	0	2	
90	18	173	58	h	0	4	
91	19	170	75	h	0	1	
