Població. Per sexe i edat any a any
Catalunya. 2018
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1180
;Homes;Dones;Total
De 0 anys;33649;31699;65348
D'1 any;35987;34159;70146
De 2 anys;36994;34847;71841
De 3 anys;38035;35473;73508
De 4 anys;37589;35637;73226
De 5 anys;40223;37906;78129
De 6 anys;41482;39259;80741
De 7 anys;42730;40149;82879
De 8 anys;43477;40471;83948
De 9 anys;44996;42483;87479
De 10 anys;43192;40600;83792
D'11 anys;42937;40594;83531
De 12 anys;42313;39948;82261
De 13 anys;41623;39652;81275
De 14 anys;40693;38337;79030
De 15 anys;39136;36847;75983
De 16 anys;38224;36093;74317
De 17 anys;38937;36454;75391
De 18 anys;38198;35593;73791
De 19 anys;37486;34336;71822
De 20 anys;37651;35660;73311
De 21 anys;37600;34885;72485
De 22 anys;37292;35816;73108
De 23 anys;38223;36925;75148
De 24 anys;39066;38292;77358
De 25 anys;40860;40139;80999
De 26 anys;40938;40609;81547
De 27 anys;41786;41908;83694
De 28 anys;42688;42786;85474
De 29 anys;43494;44617;88111
De 30 anys;44305;44748;89053
De 31 anys;45121;46575;91696
De 32 anys;47531;48135;95666
De 33 anys;49161;49851;99012
De 34 anys;51170;51464;102634
De 35 anys;54995;54448;109443
De 36 anys;58119;56405;114524
De 37 anys;61014;59863;120877
De 38 anys;63736;61460;125196
De 39 anys;67537;64477;132014
De 40 anys;69099;65650;134749
De 41 anys;69713;66356;136069
De 42 anys;70255;66223;136478
De 43 anys;69214;65325;134539
De 44 anys;66752;63438;130190
De 45 anys;65736;62452;128188
De 46 anys;63824;60611;124435
De 47 anys;62544;59880;122424
De 48 anys;60070;58011;118081
De 49 anys;59202;57223;116425
De 50 anys;58903;57647;116550
De 51 anys;57545;56104;113649
De 52 anys;55935;55697;111632
De 53 anys;56058;55924;111982
De 54 anys;51872;52995;104867
De 55 anys;50499;51565;102064
De 56 anys;48248;50561;98809
De 57 anys;48221;50652;98873
De 58 anys;46675;49916;96591
De 59 anys;46227;49074;95301
De 60 anys;44686;47838;92524
De 61 anys;41775;45052;86827
De 62 anys;40666;43959;84625
De 63 anys;39031;42811;81842
De 64 anys;38789;42353;81142
De 65 anys;38444;42350;80794
De 66 anys;35594;39963;75557
De 67 anys;34215;38844;73059
De 68 anys;35778;40484;76262
De 69 anys;37047;42929;79976
De 70 anys;33717;38800;72517
De 71 anys;31116;36482;67598
De 72 anys;32409;38135;70544
De 73 anys;29588;35790;65378
De 74 anys;28446;34409;62855
De 75 anys;23959;29051;53010
De 76 anys;21921;27367;49288
De 77 anys;26970;33400;60370
De 78 anys;14613;18924;33537
De 79 anys;17189;23021;40210
De 80 anys;20009;27423;47432
De 81 anys;19775;28873;48648
De 82 anys;18151;26865;45016
De 83 anys;16802;25518;42320
De 84 anys;15751;25196;40947
De 85 anys;14251;23611;37862
De 86 anys;12271;21512;33783
De 87 anys;10733;20162;30895
De 88 anys;9020;17036;26056
De 89 anys;7376;15216;22592
De 90 anys;5920;12955;18875
De 91 anys;4874;11439;16313
De 92 anys;3689;9228;12917
De 93 anys;2847;7545;10392
De 94 anys;2039;5823;7862
De 95 anys;1485;4568;6053
De 96 anys;950;3232;4182
De 97 anys;645;2312;2957
De 98 anys;347;1515;1862
De 99 anys;234;1029;1263
De 100 anys i més;424;1815;2239
Total;3730326;3869739;7600065

