readMes;Any;TOTAL - EL PRAT
1;2016;2517214
2;2016;2672365
3;2016;3301296
4;2016;3622360
5;2016;4049189
6;2016;4197642
7;2016;4668327
8;2016;4701329
9;2016;4359952
10;2016;4018769
11;2016;3043645
12;2016;3002605
1;2017;2804092
2;2017;2801585
3;2017;3466747
4;2017;4114126
5;2017;4325970
6;2017;4585277
7;2017;5041652
8;2017;4943928
9;2017;4637662
10;2017;4174301
11;2017;3195515
12;2017;3193645
1;2018;3058271
2;2018;3034097
3;2018;3834791
4;2018;4241905
5;2018;4549769
6;2018;4809324
7;2018;5166315
8;2018;5149419
9;2018;4843692
10;2018;4542389
11;2018;3444397
12;2018;3498088
1;2019;3274938
2;2019;3268339
3;2019;3967367
4;2019;4522810
5;2019;4681748
6;2019;5105755
7;2019;5360997
8;2019;5410064
