"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","CAPITAL","DISTR","SECCION","ENTREV","P0","P0A","P1","P2","P3","P4","P5","P6","P7","P8","P901","P902","P903","P1001","P1002","P1003","P11","P11A","P12","P13","P14","P14A","P15","P15A","P16","P16A","P1701","P1702","P1703","P1704","P1705","P1706","P18","P1901","P1902","P1903","P1904","P1905","P1906","P20","P20A","P21","P22","P23","P24","P2501","P2502","P2503","P2504","P2505","P2506","P26","P27","P27A","P27B","P27C","P27D","P27E","P27F","P28","P29","P30","P31","P32","P32A","P33","P33A","P34","P34A","P35","P36","P37","P38","P38A","P39","P40","P41","P42","P4301","P4302","P4303","P4304","P4305","P4401","P4402","P4403","P4404","P4405","P4501","P4502","P4503","P4504","P4505","P46","P47","P48","P49","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","C4","P20R","P20AR","P21R","VOTOSIMG","P27AR","RECUERDO","P29R","P27DR","ESTUDIOS","OCUMAR11","RAMA09","CONDICION11","ESTATUS"
3247,1,16,1,59,5,1,0,0,0,1,NA,8,8,8,2,2,3,2,2,13,16,6,13,22,16,98,98,5,3,8,NA,8,NA,1,NA,98,98,98,98,98,98,6,98,98,98,98,98,98,95,97,NA,3,3,4,98,98,98,98,98,98,3,1,95,4,1,NA,NA,NA,1,95,2,49,3,2,6,NA,2,3,3,4,998,4,NA,998,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,1,999,26,4,2,3,999,999,999,9,5,19,4,12,1,1,NA,1,NA,NA,1,0,95,97,NA,95,95,95,95,NA,2,98,8,9,9
3247,2,16,1,59,5,1,0,0,0,1,NA,3,1,2,3,2,8,8,8,11,9,12,9,11,1,6,5,5,3,2,NA,1,3,1,NA,1,3,4,5,2,7,5,7,2,2,5,5,0,2,3,NA,3,3,4,98,98,98,98,98,98,2,1,2,2,1,NA,NA,NA,1,2,2,66,3,7,5,NA,2,1,1,2,581,1,3,96,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,2,999,19,6,1,999,999,999,999,9,5,19,4,14,1,1,NA,1,NA,NA,1,0,2,21,NA,2,2,2,2,NA,5,5,4,8,4
3247,3,16,1,59,5,1,0,0,0,1,NA,3,1,2,3,2,3,2,2,99,99,99,29,9,22,97,98,3,1,2,NA,5,NA,1,NA,1,2,5,6,1,6,8,7,2,3,7,6,1,99,NA,3,3,3,3,7,4,5,7,6,3,3,5,NA,NA,NA,NA,NA,3,1,3,1,47,3,7,6,NA,1,NA,3,1,820,1,3,29,98,6,3,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,3,999,16,7,2,1,999,999,1,9,5,19,4,12,2,1,NA,1,NA,NA,1,0,99,NA,3,21,NA,97,3,NA,5,8,2,6,4
3247,4,16,1,59,5,1,0,0,0,1,NA,5,3,2,4,2,4,3,3,13,11,8,8,13,11,6,98,5,2,8,NA,1,5,1,NA,1,1,3,3,1,6,5,9,1,1,3,1,0,2,98,NA,2,2,4,5,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,1,2,1,35,3,4,2,2,2,3,2,1,512,1,3,56,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,4,999,21,10,1,1,5,999,999,9,5,19,4,15,2,1,NA,1,NA,NA,1,0,2,98,NA,2,2,2,2,NA,3,5,4,7,4
3247,5,16,1,59,5,1,0,0,0,1,NA,3,1,2,2,2,5,2,2,13,1,9,1,9,11,8,98,4,2,1,11,1,2,2,2,1,2,3,3,1,4,5,4,0,0,1,1,0,11,97,NA,4,4,5,6,2,2,3,3,1,1,1,11,1,1,NA,NA,NA,8,11,1,76,3,7,2,2,1,NA,1,2,411,1,3,64,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,5,999,21,3,999,2,1,999,999,9,5,19,4,14,3,1,NA,1,NA,NA,1,0,11,97,NA,11,11,11,11,NA,5,4,4,8,2
3247,6,16,1,59,5,1,0,0,0,1,NA,3,2,2,2,2,4,2,2,11,6,12,11,16,8,98,98,5,2,2,NA,3,NA,2,4,3,3,3,3,7,5,4,5,4,8,4,4,2,4,98,NA,3,3,6,5,2,8,1,1,1,3,1,4,2,1,NA,NA,NA,8,4,2,42,3,11,2,1,1,NA,3,1,251,1,3,69,99,99,9,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,6,999,20,10,999,1,3,999,999,9,5,19,4,13,3,1,NA,1,NA,NA,1,0,4,98,NA,4,4,4,4,NA,6,2,4,2,1
3247,7,16,1,59,5,1,0,0,0,1,NA,2,1,2,3,2,3,1,2,24,11,99,22,6,99,6,9,4,2,8,NA,2,3,2,2,1,1,4,6,1,5,3,5,1,1,7,7,0,3,8,NA,3,3,3,6,1,1,8,8,1,2,1,21,1,1,NA,NA,NA,1,3,2,27,3,13,6,NA,2,2,2,6,211,1,1,86,98,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,7,999,18,9,1,1,4,999,999,10,5,19,5,13,2,1,NA,1,NA,NA,1,0,21,8,NA,21,21,21,3,NA,6,2,4,10,1
3247,8,16,1,59,5,1,0,0,0,1,NA,2,2,2,2,2,3,2,2,16,8,1,1,16,22,98,98,4,3,8,NA,3,NA,1,NA,1,3,2,4,5,6,5,7,4,5,4,4,0,2,98,NA,3,3,4,7,4,5,4,3,1,2,1,2,1,1,NA,NA,NA,1,2,1,62,3,5,2,1,1,NA,3,2,143,3,NA,47,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,8,999,24,12,999,999,4,999,999,10,5,19,5,13,2,1,NA,1,NA,NA,1,0,2,98,NA,2,2,2,2,NA,5,1,4,8,3
3247,9,16,1,59,5,1,0,0,0,1,NA,3,2,2,3,2,4,1,1,1,12,9,1,12,98,6,98,98,2,1,2,2,2,1,NA,1,3,98,5,3,7,5,8,4,5,4,4,0,2,97,NA,3,3,3,8,4,5,4,4,1,1,1,2,1,1,NA,NA,NA,8,2,2,74,3,2,1,5,1,NA,2,3,712,1,3,13,99,99,9,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,1,999,10,2,999,999,999,999,999,7,5,19,2,13,1,1,NA,1,NA,NA,1,0,2,97,NA,2,2,2,2,NA,2,7,2,8,4
3247,10,16,1,59,5,1,0,0,0,1,NA,4,2,2,3,2,5,2,2,13,11,9,11,13,12,5,6,6,5,8,NA,8,NA,1,NA,1,3,6,4,3,5,8,6,3,3,3,5,0,2,3,NA,3,3,3,5,1,1,4,5,1,5,5,NA,NA,NA,NA,NA,1,1,2,1,91,3,7,5,NA,3,1,1,2,812,1,3,24,6,6,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,2,1,12,5,1,2,999,999,999,7,5,19,2,13,1,1,NA,1,NA,NA,1,0,2,21,NA,2,NA,97,2,NA,5,8,2,8,4
3247,11,16,1,59,5,1,0,0,0,1,NA,2,1,2,2,2,3,2,2,9,13,1,11,13,1,97,97,3,1,2,NA,1,2,8,NA,1,3,4,1,3,4,8,4,4,4,1,4,0,97,NA,97,4,4,5,4,4,4,2,4,1,5,5,NA,NA,NA,NA,NA,1,8,97,1,66,3,2,5,NA,2,1,1,2,719,4,NA,81,7,7,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,3,999,4,2,999,999,999,999,999,7,5,19,2,12,2,1,NA,1,NA,NA,1,0,97,NA,97,97,NA,97,97,NA,2,7,4,8,3
3247,12,16,1,59,5,1,0,0,0,2,351,2,2,2,3,2,3,2,2,13,11,9,9,13,1,98,98,7,4,2,NA,1,98,2,4,1,4,3,3,8,6,5,7,5,7,2,2,1,2,4,NA,3,7,5,6,5,7,4,3,2,3,5,NA,NA,NA,NA,NA,3,8,2,1,37,3,11,2,2,2,3,1,1,820,1,3,29,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,3,1,1,4,999,36,14,8,9,4,999,1,8,5,19,3,14,2,2,1,1,NA,NA,1,0,2,4,NA,2,NA,97,2,NA,6,8,2,6,4
