"país","poblac","densidad","urbana","relig","espvidaf","espvidam","alfabet","inc_pob","mortinf","pib_cap","región","calorías","sida","tasa_nat","tasa_mor","tasasida","log_pib","logtsida","nac_def","fertilid","log_pob","cregrano","alfabmas","alfabfem","clima"
"Acerbaján","7.400","86,0",54,"Musulma.",75,67,98,1.4,35,"3.000",5,"","",23,7,NA,3.48,NA,3.29,2.8,3.87,18,100,100,3
"Afganistán","20.500","25,0",18,"Musulma.",44,45,29,2.8,168,"205",3,"","0",53,22,0,2.31,0,2.41,6.9,4.31,12,44,14,3
"Alemania","81.200","227,0",85,"Protest.",79,73,99,0.4,6.5,"17.539",1,"3.443","11.179",11,11,13.77,4.24,1.69,1,1.5,4.91,34,NA,NA,8
"Arabia Saudí","18.000","7,7",77,"Musulma.",70,66,62,3.2,52,"6.651",5,"2.874","61",38,6,0.34,3.82,0.81,6.33,6.7,4.26,1,73,48,1
"Argentina","33.900","12,0",86,"Católica",75,68,95,1.3,25.6,"3.408",6,"3.113","3.904",20,9,11.52,3.53,1.63,2.22,2.8,4.53,9,96,95,8
"Armenia","3.700","126,0",68,"Ortodoxa",75,68,98,1.4,27,"5.000",5,"","2",23,6,0.05,3.7,0.56,3.83,3.2,3.57,17,100,100,NA
"Australia","17.800","2,3",85,"Protest.",80,74,100,1.4,7.3,"16.848",1,"3.216","4.727",15,8,26.56,4.23,1.93,1.88,1.9,4.25,6,100,100,3
"Austria","8.000","94,0",58,"Católica",79,73,99,0.2,6.7,"18.396",1,"3.495","1.150",12,11,14.38,4.26,1.7,1.09,1.5,3.9,17,NA,NA,8
"Bahrein","600","828,0",83,"Musulma.",74,71,77,2.4,25,"7.875",5,"","13",29,4,2.17,3.9,1.17,7.25,4,2.78,2,55,55,3
"Bangladesh","125.000","800,0",16,"Musulma.",53,53,35,2.4,106,"202",3,"2.021","1",35,11,0,2.31,0.24,3.18,4.7,5.1,67,47,22,5
"Barbados","256","605,0",45,"Protest.",78,73,99,0.2,20.3,"6.950",6,"","418",16,8,139.33,3.84,2.68,1.9,1.8,2.41,77,99,99,5
"Bélgica","10.100","329,0",96,"Católica",79,73,99,0.2,7.2,"17.912",1,"","1.603",12,11,15.87,4.25,1.74,1.09,1.7,4,24,NA,NA,8
"Bielorusia","10.300","50,0",65,"Ortodoxa",76,66,99,0.3,19,"6.500",2,"","10",13,11,0.1,3.81,0.63,1.18,1.9,4.01,29,100,100,8
"Bolivia","7.900","6,9",51,"Católica",64,59,78,2.7,75,"730",6,"1.916","87",34,9,1.1,2.86,1.02,3.78,4.2,3.9,3,85,71,4
"Bosnia","4.600","87,0",36,"Musulma.",78,72,86,0.7,12.7,"3.098",2,"","",14,6,NA,3.49,NA,2.19,NA,3.66,20,NA,NA,8
"Botswana","1.359","2,4",25,"Tribal",66,60,72,2.7,39.3,"2.677",4,"2.375","1.415",32,8,101.07,3.43,2.52,4,5.1,3.13,2,32,16,4
"Brasil","156.600","18,0",75,"Católica",67,57,81,1.3,66,"2.354",6,"2.751","49.312",21,9,31.49,3.37,1.99,2.33,2.7,5.19,7,82,80,5
"Bulgaria","8.900","79,0",68,"Ortodoxa",75,69,93,-0.2,12,"3.831",2,"","24",13,12,0.27,3.58,0.77,1.08,1.8,3.95,34,NA,NA,8
"Burkina Faso","10.000","36,0",15,"Animista",50,47,18,2.8,118,"357",4,"2.288","4.193",47,18,41.93,2.55,2.11,2.61,6.9,4,10,28,9,5
"Burundi","6.000","216,0",5,"Católica",50,46,50,2.3,105,"208",4,"1.932","7.225",44,21,120.42,2.32,2.61,2.1,6.8,3.78,43,61,40,8
"Camboya","10.000","55,0",12,"Budista",52,50,35,2.9,112,"260",3,"2.166","0",45,16,0,2.41,0,2.81,5.8,4,16,48,22,5
"Camerún","13.100","27,0",40,"Animista",58,55,54,2.9,77,"993",4,"2.217","3.072",41,12,23.45,3,1.88,3.42,5.7,4.12,13,66,45,4
"Canadá","29.100","2,8",77,"Católica",81,74,97,0.7,6.8,"19.904",1,"3.482","9.511",14,8,32.68,4.3,2.01,1.75,1.8,4.46,5,NA,NA,9
"Colombia","35.600","31,0",70,"Católica",75,69,87,2,28,"1.538",6,"2.598","4.583",24,6,12.87,3.19,1.67,4,2.5,4.55,4,88,86,5
"Corea del Norte","23.100","189,0",60,"Budista",73,67,99,1.8,27.7,"1.000",3,"","0",24,6,0,3,0,4.36,2.4,4.36,18,99,99,8
"Corea del Sur","45.000","447,0",72,"Protest.",74,68,96,1,21.7,"6.627",3,"","19",16,6,0.04,3.82,0.53,2.67,1.7,4.65,21,99,99,8
"Costa Rica","3.300","64,0",47,"Católica",79,76,93,2.3,11,"2.031",6,"2.808","587",26,4,17.79,3.31,1.78,6.5,3.1,3.52,6,93,93,5
"Croacia","4.900","85,0",51,"Católica",77,70,97,-0.1,8.7,"5.487",2,"","56",11,11,1.14,3.74,1.03,1,1.7,3.69,32,NA,NA,6
