"id","sitlab","ecivil","edadboda","hermanos","hijos","edad","mesnaz","zodiaco","educ","titestud","titpadre","titmadre","sexo","raza","ingfam91","ingper91","región","dimhabit","tamaño","partido","voto92","tendpol","penacap","leyarmas","legdroga","relig","vida","hijosidl","píldora","educsex","cachete","eutan","periódic","horastv","banda","country","counwest","blues","musical","clásica","folk","jazz","opera","rap","hvymetal","deportes","museos","telenov","telenoti","espectv","ciencias","amantes","frecsex","casaprop","indsocec","cohorte","ingreso4","titestu2","edadcat4","política","región4","casado2","clasica3","jazz3","rap3","blues3"
"1",1,"A tiempo completo","Divorciado",20,3,"1",43,"Mayo","Tauro",11,"Medio",NA,"Elemental","Hombre","Blanca","$40000-49999","$35000-39999","Atlántico central","Ciudad > 250000",7072,"Republicano","Ha votado","Ligeramente conservador","En Contra","En Contra","En Contra","Otra","Rutinaria",NA,NA,NA,NA,NA,NA,4,"No me gusta","No me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta mucho","Me gusta a ratos","Me gusta","Me gusta","Me disgusta","Me disgusta","No","Sí","Diariamente","Diariamente","Diariamente",NA,"1 Compañero","Una vez al mes",NA,"36,1",1950,"40,000 - 59,999","Sin Bachillerato","40-49","Tendencia conservadora","Nor-Este","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"2",2,"A tiempo completo","Soltero",NA,2,"0",44,"Agosto","Virgo",16,"Diploma universitario","Elemental","Elemental","Hombre","Negra","$40000-49999","$40000-49999","Atlántico central","Ciudad > 250000",7072,"Demócrata Militante","Ha votado","Decididamente liberal","En Contra","A Favor",NA,"Ninguna","Excitante","1","En Desacuerdo","A Favor","Completamenete de Acuerdo","Sí","Diariamente",5,"Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta mucho","No me gusta","Me disgusta","No","Sí","Varios días al mes","Diariamente","Varios días al mes","Probablemente cierto","2 Compañeros","Una vez al mes","En alquiler","63,5",1949,"40,000 - 59,999","Bachiller","40-49","Liberal","Nor-Este","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"3",3,"A tiempo completo","Divorciado",25,2,"0",43,"Febrero","Acuario",16,"Diploma universitario","Medio","Elemental","Mujer","Blanca","$40000-49999","$40000-49999","Atlántico central","Ciudad > 250000",7072,"Republicano","Ha votado","Conservador","A Favor","A Favor","En Contra","Católico","Excitante",NA,NA,NA,NA,NA,NA,2,"Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta a ratos","Me gusta mucho","No me gusta","No me gusta","No","Sí","Varios días a la semana","Diariamente","Diariamente","Probablemente cierto","1 Compañero","2-3 veces a la semana",NA,"69,2",1950,"40,000 - 59,999","Bachiller","40-49","Conservador","Nor-Este","No","Me gusta","Me gusta a ratos","Me disgusta","Me gusta a ratos"
"4",4,"A tiempo parcial","Soltero",NA,4,"0",45,NA,NA,15,"Medio","Medio",NA,"Mujer","Blanca","Rehusa","Rehusa","Atlántico central","Ciudad > 250000",7072,"Republicano","Ha votado","Moderado","A Favor",NA,NA,"Protestante",NA,"3","De Acuerdo","A Favor","En Desacuerdo","No","Diariamente",4,NA,"Me disgusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me disgusta","Me gusta","Me disgusta","Me disgusta","Me disgusta","No","Sí","Diariamente","Diariamente","Diariamente",NA,NA,NA,"En alquiler","31,4",1948,"60,000 o más","Sin Bachillerato","40-49","Moderado","Nor-Este","No","Me gusta","Me gusta","Me disgusta","Me gusta a ratos"
"5",5,"Retirado","Soltero",NA,1,"0",78,"Octubre","Libra",17,"Licenciado","Medio","Bachillerato","Mujer","Blanca","$75000+",NA,"Atlántico central","Ciudad > 250000",7072,"Independiente","Ha votado","Ligeramente liberal","En Contra","A Favor",NA,"Protestante","Excitante","2","Completamenete de Acuerdo","A Favor","De Acuerdo","No","Diariamente",1,"Me gusta","Me gusta a ratos","No me gusta","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta mucho","Me gusta mucho",NA,NA,"Sí","Sí","Nunca","Varios días a la semana","Varios días al mes",NA,NA,NA,"En alquiler","75,2",1915,"60,000 o más","Bachiller","50+","Tendencia liberal","Nor-Este","No","Me gusta","Me gusta",NA,"Me gusta"
"6",6,"Retirado","Casado",25,2,"2",83,"Marzo","Piscis",11,"Medio","Elemental","Elemental","Hombre","Blanca","$20000-22499",NA,"Atlántico central","Ciudad > 250000",7072,"Demócrata","Ha votado","Liberal","A Favor","A Favor","En Contra","Judío","Rutinaria",NA,NA,NA,NA,NA,NA,4,"Me gusta mucho","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta",NA,"Me gusta a ratos","Me gusta mucho","Me disgusta","Me gusta a ratos","Me disgusta","No","No","Varios días a la semana","Diariamente","Varios días a la semana","Probablemente cierto","1 Compañero","Una vez al mes",NA,"53,9",1910,"24,999 o menos","Sin Bachillerato","50+","Liberal","Nor-Este","Sí",NA,"Me gusta","Me gusta a ratos","Me gusta"
"7",7,"A tiempo completo","Casado",22,2,"2",55,"Octubre","Libra",12,"Medio","Elemental","Elemental","Mujer","Blanca","$50000-59999","$25000-29999","Atlántico central","Ciudad > 250000",7072,"Demócrata Militante","Ha votado","Liberal","A Favor","A Favor","A Favor","Judío","Rutinaria",NA,NA,NA,NA,NA,NA,3,"Me gusta mucho","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta a ratos","Me gusta","Me gusta","Me gusta","Me disgusta","Me disgusta","Sí","No","Diariamente","Diariamente","Varios días al mes","Completamente cierto","1 Compañero","Una vez a la semana",NA,"38,4",1938,"40,000 - 59,999","Sin Bachillerato","50+","Liberal","Nor-Este","Sí","Me gusta a ratos","Me gusta","Me disgusta","Me gusta"
"8",8,"Retirado","Casado",24,3,"2",75,"Noviembre","Sagitario",12,"Medio","Elemental","Elemental","Hombre","Blanca","$12500-14999",NA,"Atlántico central","Ciudad > 250000",7072,"Demócrata","No ha votado","Moderado","A Favor","A Favor","En Contra","Judío","Rutinaria",NA,NA,NA,NA,NA,NA,3,"Me gusta mucho","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta","Me gusta","No me gusta","Me disgusta","Sí","No","Diariamente","Diariamente","Varios días a la semana","Probablemente cierto","1 Compañero","Una o dos veces",NA,"45,8",1918,"24,999 o menos","Sin Bachillerato","50+","Moderado","Nor-Este","Sí","Me gusta","Me gusta","Me disgusta","Me gusta"
"9",9,"A tiempo completo","Divorciado",22,1,"2",31,"Julio","Cáncer",18,"Licenciado","Medio","Medio","Hombre","Blanca","$75000+","$60000-74999","Atlántico central","Ciudad > 250000",7072,"Republicano Militante","Ha votado","Ligeramente conservador",NA,"A Favor",NA,"Católico","Excitante","1","De Acuerdo","A Favor","Completamente en Desacuerdo","Sí","Varios días a la semana",1,"Me gusta a ratos","Me gusta","Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta","Sí","Sí","Nunca","Varios días a la semana","Varios días al mes","Completamente cierto","2 Compañeros","4+ veces a la semana","Otro","64,1",1962,"60,000 o más","Bachiller","30-39","Tendencia conservadora","Nor-Este","No","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta"
"10",10,"A tiempo parcial","Soltero",NA,1,"0",54,"Marzo","Piscis",18,"Licenciado","Elemental","Medio","Mujer","Blanca","$10000-12499","$1000-2999","Atlántico central","Ciudad > 250000",7072,"Demócrata Militante","Ha votado","Moderado",NA,"A Favor",NA,"Católico","Excitante","Tantos como se quiera","De Acuerdo","A Favor","En Desacuerdo","No","Varios días a la semana",1,"Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta a ratos","Me disgusta","Sí","No","Raramente","Diariamente","Raramente","Probablemente cierto","Ninguno","Ninguna","En alquiler","80,9",1939,"24,999 o menos","Bachiller","50+","Moderado","Nor-Este","No","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta"
