país;poblac;densidad;urbana;relig;espvidaf;espvidam;alfabet;inc_pob;mortinf;pib_cap;región;calorías;sida;tasa_nat;tasa_mor;tasasida;log_pib;logtsida;nac_def;fertilid;log_pob;cregrano;alfabmas;alfabfem;clima
Acerbaján;7400;86,0;54;Musulma.;75;67;98;1,4;35,0;3000;5;;;23,0;7;;3,48;;3,29;2,8;3,87;18;100;100;3
Afganistán;20500;25,0;18;Musulma.;44;45;29;2,8;168,0;205;3;;0;53,0;22;0,00;2,31;0,00;2,41;6,9;4,31;12;44;14;3
Alemania;81200;227,0;85;Protest.;79;73;99;0,4;6,5;17539;1;3443;11179;11,0;11;13,77;4,24;1,69;1,00;1,5;4,91;34;;;8
Arabia Saudí;18000;7,7;77;Musulma.;70;66;62;3,2;52,0;6651;5;2874;61;38,0;6;0,34;3,82;0,81;6,33;6,7;4,26;1;73;48;1
Argentina;33900;12,0;86;Católica;75;68;95;1,3;25,6;3408;6;3113;3904;20,0;9;11,52;3,53;1,63;2,22;2,8;4,53;9;96;95;8
Armenia;3700;126,0;68;Ortodoxa;75;68;98;1,4;27,0;5000;5;;2;23,0;6;0,05;3,70;0,56;3,83;3,2;3,57;17;100;100;
Australia;17800;2,3;85;Protest.;80;74;100;1,4;7,3;16848;1;3216;4727;15,0;8;26,56;4,23;1,93;1,88;1,9;4,25;6;100;100;3
Austria;8000;94,0;58;Católica;79;73;99;0,2;6,7;18396;1;3495;1150;12,0;11;14,38;4,26;1,70;1,09;1,5;3,90;17;;;8
Bahrein;600;828,0;83;Musulma.;74;71;77;2,4;25,0;7875;5;;13;29,0;4;2,17;3,90;1,17;7,25;4,0;2,78;2;55;55;3
Bangladesh;125000;800,0;16;Musulma.;53;53;35;2,4;106,0;202;3;2021;1;35,0;11;0,00;2,31;0,24;3,18;4,7;5,10;67;47;22;5
Barbados;256;605,0;45;Protest.;78;73;99;0,2;20,3;6950;6;;418;16,0;8;139,33;3,84;2,68;1,90;1,8;2,41;77;99;99;5
Bélgica;10100;329,0;96;Católica;79;73;99;0,2;7,2;17912;1;;1603;12,0;11;15,87;4,25;1,74;1,09;1,7;4,00;24;;;8
Bielorusia;10300;50,0;65;Ortodoxa;76;66;99;0,3;19,0;6500;2;;10;13,0;11;0,10;3,81;0,63;1,18;1,9;4,01;29;100;100;8
Bolivia;7900;6,9;51;Católica;64;59;78;2,7;75,0;730;6;1916;87;34,0;9;1,10;2,86;1,02;3,78;4,2;3,90;3;85;71;4
Bosnia;4600;87,0;36;Musulma.;78;72;86;0,7;12,7;3098;2;;;14,0;6;;3,49;;2,19;;3,66;20;;;8
Botswana;1359;2,4;25;Tribal;66;60;72;2,7;39,3;2677;4;2375;1415;32,0;8;101,07;3,43;2,52;4,00;5,1;3,13;2;32;16;4
Brasil;156600;18,0;75;Católica;67;57;81;1,3;66,0;2354;6;2751;49312;21,0;9;31,49;3,37;1,99;2,33;2,7;5,19;7;82;80;5
Bulgaria;8900;79,0;68;Ortodoxa;75;69;93;-0,2;12,0;3831;2;;24;13,0;12;0,27;3,58;0,77;1,08;1,8;3,95;34;;;8
Burkina Faso;10000;36,0;15;Animista;50;47;18;2,8;118,0;357;4;2288;4193;47,0;18;41,93;2,55;2,11;2,61;6,9;4,00;10;28;9;5
Burundi;6000;216,0;5;Católica;50;46;50;2,3;105,0;208;4;1932;7225;44,0;21;120,42;2,32;2,61;2,10;6,8;3,78;43;61;40;8
Camboya;10000;55,0;12;Budista;52;50;35;2,9;112,0;260;3;2166;0;45,0;16;0,00;2,41;0,00;2,81;5,8;4,00;16;48;22;5
Camerún;13100;27,0;40;Animista;58;55;54;2,9;77,0;993;4;2217;3072;41,0;12;23,45;3,00;1,88;3,42;5,7;4,12;13;66;45;4
Canadá;29100;2,8;77;Católica;81;74;97;0,7;6,8;19904;1;3482;9511;14,0;8;32,68;4,30;2,01;1,75;1,8;4,46;5;;;9
Colombia;35600;31,0;70;Católica;75;69;87;2,0;28,0;1538;6;2598;4583;24,0;6;12,87;3,19;1,67;4,00;2,5;4,55;4;88;86;5
Corea del Norte;23100;189,0;60;Budista;73;67;99;1,8;27,7;1000;3;;0;24,0;6;0,00;3,00;0,00;4,36;2,4;4,36;18;99;99;8
Corea del Sur;45000;447,0;72;Protest.;74;68;96;1,0;21,7;6627;3;;19;16,0;6;0,04;3,82;0,53;2,67;1,7;4,65;21;99;99;8
Costa Rica;3300;64,0;47;Católica;79;76;93;2,3;11,0;2031;6;2808;587;26,0;4;17,79;3,31;1,78;6,50;3,1;3,52;6;93;93;5
Croacia;4900;85,0;51;Católica;77;70;97;-0,1;8,7;5487;2;;56;11,0;11;1,14;3,74;1,03;1,00;1,7;3,69;32;;;6
Cuba;11100;99,0;74;Católica;78;74;94;1,0;10,2;1382;6;;245;17,0;7;2,21;3,14;1,17;2,43;1,9;4,05;23;95;93;5
Chile;14000;18,0;85;Católica;78;71;93;1,7;14,6;2591;6;2581;831;23,0;6;5,94;3,41;1,43;3,83;2,5;4,15;7;94;93;8
China;1205200;124,0;26;Taoista;69;67;78;1,1;52,0;377;3;2639;38;21,0;7;0,00;2,58;0,32;3,00;1,8;6,08;10;87;68;8
Dinamarca;5200;120,0;85;Protest.;79;73;99;0,1;6,6;18277;1;3628;1411;12,0;12;27,13;4,26;1,94;1,00;1,7;3,72;61;;;8
Ecuador;10700;39,0;56;Católica;73;67;88;2,0;39,0;1085;6;2531;381;26,0;6;3,37;3,04;1,28;4,33;3,1;4,03;6;90;86;5
Egipto;60000;57,0;44;Musulma.;63;60;48;2,0;76,4;748;5;3336;91;29,0;9;0,15;2,87;0,69;3,22;3,8;4,78;3;63;34;1
El Salvador;5800;246,0;44;Católica;69;64;73;2,0;41,0;1078;6;2317;530;33,0;7;9,64;3,03;1,57;4,71;3,8;3,76;27;76;70;5
Emiratos Árabes;2800;32,0;81;Musulma.;74;70;68;4,8;22,0;14193;5;;8;28,0;3;0,47;4,15;0,86;9,33;4,5;3,45;0;70;63;1
España;39200;77,0;78;Católica;81;74;95;0,3;6,9;13047;1;3572;24202;11,0;9;61,74;4,12;2,28;1,22;1,4;4,59;31;97;93;8
Estados Unidos;260800;26,0;75;Protest.;79;73;97;1,0;8,1;23474;1;3671;411907;15,0;9;157,94;4,37;2,75;1,67;2,1;5,42;20;97;97;8
